Unnamed: 0,customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,labels,class
11715,3957,11715,0.08208955223880599,0.51,1,22,0.0,0.0,23.66,13.76,0.0,0.0,62.58,0.0,6,8
11716,3957,11716,0.029850746268656712,1.51,2,18,0.0,0.0,0.0,0.0,6.51,0.0,93.49,0.0,6,8
11717,3958,11717,0.23134328358208958,7.96,2,18,34.79,48.1,4.7,3.09,9.32,0.0,0.0,0.0,5,6
11718,3959,11718,0.7014925373134328,1.07,3,17,22.11,63.42,2.05,5.77,6.65,0.0,0.0,0.0,5,6
11720,3959,11720,0.5074626865671642,7.1,1,19,27.62,54.77,3.0,4.95,9.68,0.0,0.0,0.0,5,6
11721,3960,11721,0.5895522388059701,4.24,2,22,37.41,40.98,10.02,6.78,1.02,0.0,3.79,0.0,5,6
11722,3960,11722,0.2835820895522388,1.67,4,12,38.53,16.85,35.17,9.45,0.0,0.0,0.0,0.0,2,7
11723,3960,11723,0.4477611940298507,1.9,1,17,31.45,22.31,19.42,15.55,6.04,0.0,5.22,0.0,2,7
11724,3961,11724,0.1865671641791045,0.22,5,10,21.05,72.1,0.0,0.0,6.84,0.0,0.0,0.0,5,6
11725,3962,11725,0.2835820895522388,2.6,3,14,25.46,34.99,20.64,0.0,0.0,2.8,16.11,0.0,5,6
11726,3963,11726,0.04477611940298507,0.0,7,10,16.99,0.0,38.61,3.66,0.0,0.0,40.74,0.0,6,8
11727,3963,11727,0.05223880597014926,0.0,1,11,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1,1
11728,3963,11728,0.07462686567164178,22.9,3,11,0.0,0.0,49.23,50.77,0.0,0.0,0.0,0.0,4,4
11729,3963,11729,0.1119402985074627,23.56,3,11,47.74,3.74,33.57,14.95,0.0,0.0,0.0,0.0,2,7
11730,3963,11730,0.07462686567164178,3.93,5,16,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1,1
11731,3963,11731,0.029850746268656712,15.2,3,10,0.0,0.0,54.4,45.6,0.0,0.0,0.0,0.0,4,4
11732,3963,11732,0.09701492537313433,20.12,2,11,0.0,0.0,28.43,0.0,0.0,0.0,71.57,0.0,6,8
11733,3963,11733,0.08955223880597016,14.55,4,11,58.67,0.0,41.33,0.0,0.0,0.0,0.0,0.0,2,7
11734,3964,11734,0.1044776119402985,24.03,1,14,24.67,6.66,23.44,45.24,0.0,0.0,0.0,0.0,4,4
11735,3964,11735,0.08208955223880599,6.92,1,21,34.19,16.68,42.94,0.0,6.2,0.0,0.0,0.0,2,7
11736,3965,11736,0.40298507462686567,6.18,7,21,14.35,34.89,14.97,30.15,4.15,0.0,1.5,0.0,3,5
11737,3965,11737,0.3805970149253731,1.74,5,15,18.83,50.95,12.67,3.99,3.82,0.0,9.74,0.0,5,6
11738,3966,11738,0.04477611940298507,17.21,7,19,9.95,3.13,6.39,0.0,0.0,0.0,80.54,0.0,6,8
11739,3967,11739,0.11940298507462688,0.0,4,22,21.83,18.91,43.58,15.68,0.0,0.0,0.0,0.0,1,1
11740,3968,11740,0.30597014925373134,16.71,4,18,0.0,0.0,0.0,72.32,27.68,0.0,0.0,0.0,4,4
11741,3968,11741,0.17164179104477612,11.56,2,11,6.98,0.0,18.09,71.53,0.0,3.4,0.0,0.0,4,4
11742,3968,11742,0.22388059701492538,5.44,1,12,28.95,0.0,17.14,19.55,27.6,0.59,6.18,0.0,0,0
11743,3969,11743,0.5895522388059701,2.52,1,14,22.04,32.62,19.11,4.39,21.84,0.0,0.0,0.0,5,6
11744,3969,11744,0.4626865671641791,4.6,4,0,45.44,15.0,19.93,12.95,3.6,0.0,3.06,0.0,2,7
11745,3969,11745,0.4477611940298507,3.06,3,6,38.88,33.27,23.46,2.33,0.0,0.0,0.0,0.0,2,7
11746,3969,11746,0.626865671641791,0.51,5,18,26.13,31.02,35.76,7.09,0.0,0.0,0.0,0.0,3,5
11747,3970,11747,0.17910447761194032,4.47,6,19,7.64,24.62,32.2,28.23,7.32,0.0,0.0,0.0,3,5
11748,3970,11748,0.17910447761194032,4.9,3,13,15.42,9.23,35.53,16.11,19.26,4.44,0.0,0.0,2,7
11749,3971,11749,0.17164179104477612,34.5,1,22,21.0,34.9,20.0,0.0,17.92,0.0,6.18,0.0,5,6
11750,3971,11750,0.1865671641791045,32.77,7,11,28.19,19.21,10.94,3.55,0.0,0.0,38.12,0.0,3,5
11751,3971,11751,0.1417910447761194,7.85,7,19,15.01,24.46,24.45,5.15,5.33,0.0,25.61,0.0,3,5
11752,3971,11752,0.1417910447761194,7.99,1,22,35.67,29.44,20.58,0.0,0.0,0.0,14.31,0.0,2,7
11753,3971,11753,0.20895522388059704,4.87,1,18,18.01,31.45,18.83,0.0,15.25,0.0,16.46,0.0,5,6
11754,3971,11754,0.23880597014925373,4.24,3,21,20.45,44.32,14.88,4.53,0.0,0.0,15.82,0.0,5,6
11755,3971,11755,0.1119402985074627,4.16,4,22,8.34,58.87,18.89,0.0,0.0,0.0,13.9,0.0,5,6
11756,3971,11756,0.07462686567164178,21.53,4,12,14.31,10.95,8.01,0.0,59.14,0.0,7.59,0.0,0,0
11757,3971,11757,0.1492537313432836,2.81,7,10,22.23,30.55,16.38,3.11,0.0,0.0,27.73,0.0,3,5
11758,3971,11758,0.17164179104477612,10.22,7,21,14.47,26.14,18.73,0.86,19.9,0.0,19.91,0.0,3,5
11759,3971,11759,0.15671641791044777,0.0,2,22,28.51,29.6,5.75,3.53,0.0,0.0,32.61,0.0,5,6
11760,3971,11760,0.1865671641791045,18.24,4,11,10.0,22.11,11.14,22.54,32.17,0.0,2.03,0.0,0,0
11761,3972,11761,0.3731343283582089,9.82,5,22,21.8,46.08,8.76,0.0,0.0,0.0,23.37,0.0,5,6
11762,3972,11762,0.23880597014925373,7.71,2,20,14.84,41.63,43.52,0.0,0.0,0.0,0.0,0.0,5,6
11763,3972,11763,0.3805970149253731,8.13,6,15,17.44,25.76,6.23,13.06,18.03,0.0,19.48,0.0,3,5
11764,3972,11764,0.32835820895522383,8.57,7,23,12.32,49.93,6.62,0.0,0.0,0.0,31.13,0.0,3,5
11765,3972,11765,0.3582089552238806,16.49,7,22,15.79,32.62,27.86,17.19,6.54,0.0,0.0,0.0,3,5
11766,3972,11766,0.3805970149253731,8.81,7,22,29.44,50.24,10.15,8.22,1.95,0.0,0.0,0.0,3,5
11767,3972,11767,0.3507462686567164,18.11,1,23,6.82,52.06,25.69,0.0,2.76,0.0,9.8,0.0,5,6
11768,3972,11768,0.25373134328358204,8.41,1,23,9.87,15.84,43.11,0.0,0.0,0.0,31.17,0.0,1,1
11769,3973,11769,0.12686567164179105,6.35,1,20,47.36,13.83,11.56,21.49,3.61,2.16,0.0,0.0,2,7
11770,3973,11770,0.15671641791044777,0.0,2,17,34.24,21.89,26.39,2.13,15.35,0.0,0.0,0.0,2,7
11771,3973,11771,0.11940298507462688,14.77,5,22,36.48,21.3,16.8,0.0,25.42,0.0,0.0,0.0,0,0
11772,3973,11772,0.1492537313432836,6.8,2,23,32.3,17.35,7.53,32.27,10.55,0.0,0.0,0.0,2,7
11773,3974,11773,0.17164179104477612,2.61,2,18,58.24,0.0,41.76,0.0,0.0,0.0,0.0,0.0,2,7
11774,3975,11774,0.0,16.67,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8,9
11775,3976,11775,0.22388059701492538,4.94,7,11,24.5,21.79,23.68,30.03,0.0,0.0,0.0,0.0,3,5
11776,3976,11776,0.3656716417910448,3.78,7,12,22.82,31.42,27.88,14.4,3.49,0.0,0.0,0.0,3,5
11777,3976,11777,0.33582089552238803,0.69,1,23,45.05,22.56,17.88,14.52,0.0,0.0,0.0,0.0,2,7
11778,3976,11778,0.3507462686567164,0.86,7,15,40.54,14.26,26.57,18.63,0.0,0.0,0.0,0.0,3,5
11779,3976,11779,0.3507462686567164,2.4,7,19,49.36,15.16,24.2,11.27,0.0,0.0,0.0,0.0,3,5
11780,3977,11780,0.0,0.0,7,22,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0
